trip_id,time_of_day,season,corridor,cbd_stage,sacco,vehicle_type,vehicle_name,passenger_count,fuel_type,payment_method,vehicle_capacity,fare(ksh),fuel_consumption(Litrers/100km),fuel_price(unit),revenue(ksh),fuel_cost,profit(ksh),date_clean,distance_km_clean,route_number
TRP006109,Afternoon,Short Rains,Kenyatta University,Railways,Kenya Mpya,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,26.1,182.64,2100,-109.64,2209.64,12/1/2023,2.3,Ku1
TRP007915,Afternoon,Dry Season,Kitengela,OTC,Forward Travelers,Standard,Standard Unit,33,Petrol,M-Pesa,33,57,22.5,179.8,1881,364.1,1516.9,8/17/2024,9,110
TRP011657,Morning,Short Rains,Westlands,Kencom,KBS,Electric,Basigo E-Bus,49,Electric,Cash,49,150,38.1,26.47,7350,141.19,7208.81,12/18/2024,14,30
TRP011349,Afternoon,Short Rains,Langata Road,Railways,Forward Travelers,Nganya,Money Hest,14,Diesel,M-Pesa,14,200,29.79,201.86,2800,1431.19,1368.81,12/18/2025,23.8,11A
TRP005942,Morning,Short Rains,Fedha,OTC,Embassava,Nganya,Matrix Damager,25,Diesel,Cash,25,200,29.8,189.21,5000,1212.27,3787.73,12/11/2023,21.5,34F
TRP015322,Morning,Short Rains,Outering Road,OTC,Ongata Line,Nganya,Sabaki,33,Diesel,M-Pesa,33,76,26.6,194.59,2508,310.57,2197.43,12/15/2025,6,73
TRP000104,Morning,Dry Season,Kiambu,Odeon,Ongata Line,Standard,Standard Unit,33,Diesel,Cash,33,85,29.2,204.94,2805,640.31,2164.69,9/8/2025,10.7,100
TRP006718,Evening,Short Rains,Kikuyu,Railways,Nicco Movers,Nganya,B613,25,Diesel,M-Pesa,25,164,18.9,195.98,4100,456.71,3643.29,4/12/2025,12.33,105
TRP005143,Evening,Dry Season,Embakasi,OTC,Embassava,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,18,160.38,2100,606.24,1493.76,8/15/2024,21,34E
TRP005828,Afternoon,Long Rains,Kikuyu,Railways,Embassava,Standard,Standard Unit,14,Diesel,Cash,14,150,27.6,175.05,2100,1323.8,776.2,4/15/2023,27.4,112
TRP015763,Morning,Dry Season,Outering Road,OTC,East Shuttle,Electric,Basigo E-Bus,49,Electric,M-Pesa,49,150,47.59,24.56,7350,324.34,7025.66,2/23/2023,27.75,69
TRP014029,Evening,Dry Season,Huruma-Mathare,Muthurwa,Ongata Line,Standard,Standard Unit,14,Diesel,Cash,14,150,20.3,180.7,2100,878.54,1221.46,7/21/2023,23.95,25
TRP012091,Evening,Dry Season,Eastleigh,Odeon,Latema,Standard,Standard Unit,25,Diesel,M-Pesa,25,150,20.15,163.96,3750,660.76,3089.24,8/11/2024,20,14B
TRP008375,Evening,Dry Season,Huruma-Mathare,Muthurwa,Citi Hoppa,Standard,Standard Unit,33,Diesel,M-Pesa,33,59,28.5,177.48,1947,303.49,1643.51,9/9/2023,6,25
TRP004440,Afternoon,Dry Season,Kitengela,OTC,Ongata Line,Nganya,Scorpion,33,Petrol,M-Pesa,33,190,19.06,199.91,6270,928.95,5341.05,8/27/2023,24.38,110
TRP014141,Morning,Dry Season,Ngong Road,Railways,City Shuttle,Standard,Standard Unit,25,Petrol,Cash,25,150,24.5,217.9,3750,1355.99,2394.01,9/27/2025,25.4,111
TRP005631,Morning,Short Rains,Langata Road,Kencom,Embassava,Standard,Standard Unit,25,Diesel,M-Pesa,25,130,25.5,180.98,3250,507.65,2742.35,10/25/2023,11,34
TRP004460,Evening,Short Rains,Jogoo Road,Muthurwa,Latema,Standard,Standard Unit,14,Diesel,Cash,14,150,31.6,182.48,2100,1574.22,525.78,12/13/2023,27.3,33J
TRP006759,Afternoon,Short Rains,Dandora,OTC,KBS,Electric,Basigo E-Bus,25,Electric,M-Pesa,25,150,38.1,25.9,3750,258.54,3491.46,10/29/2024,26.2,36
TRP005060,Evening,Dry Season,Kiambu,Odeon,Zuri,Nganya,Overload,14,Diesel,M-Pesa,14,51,31.9,166.7,714,334.49,379.51,2/10/2024,6.29,100
TRP012694,Evening,Dry Season,Kenyatta University,Odeon,Nicco Movers,Nganya,Godfather,33,Petrol,M-Pesa,33,200,22,214,6600,1238.2,5361.8,7/27/2025,26.3,Ku1
TRP010796,Morning,Long Rains,Huruma-Mathare,Muthurwa,Citi Hoppa,Standard,Standard Unit,14,Diesel,M-Pesa,14,94.32,30.7,202.47,1320.48,569.99,750.49,3/21/2025,9.17,25
TRP003361,Night,Dry Season,Eastleigh,Odeon,City Shuttle,Standard,Standard Unit,14,Diesel,Cash,14,50,18.5,174.52,700,193.72,506.28,8/1/2023,6,14A
TRP006115,Night,Dry Season,Pipeline,OTC,Embassava,Nganya,Opposite,33,Diesel,M-Pesa,33,200,19.4,192.33,6600,965.26,5634.74,2/14/2023,25.87,33A
TRP010184,Evening,Long Rains,Pipeline,OTC,2Nk,Standard,Standard Unit,25,Diesel,M-Pesa,25,130,19.2,194.15,3250,287.78,2962.22,3/7/2025,7.72,33A
TRP016611,Afternoon,Short Rains,Kiambu,Odeon,Manchester,Nganya,Scorpion,14,Diesel,Cash,14,50,18.2,188.87,700,171.87,528.13,11/1/2023,5,100
TRP002476,Morning,Dry Season,Kawangware,Kencom,KBS,Electric,Basigo E-Bus,49,Electric,M-Pesa,49,116,36.4,24,5684,125.8,5558.2,8/7/2025,14.4,46
TRP011425,Afternoon,Dry Season,Ngong Road,Railways,2Nk,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,25.2,160.6,2100,930.84,1169.16,2/25/2024,23,111
TRP000169,Afternoon,Long Rains,Westlands,Muthurwa,Citi Hoppa,Electric,Basigo E-Bus,25,Electric,Cash,25,150,49.95,25.81,3750,-64.46,3814.46,4/25/2023,5,30
TRP003418,Afternoon,Dry Season,Kenyatta University,Odeon,Latema,Nganya,Opposite,25,Diesel,M-Pesa,25,69,21.01,182.59,1725,260.86,1464.14,1/27/2025,6.8,Ku1
TRP013757,Evening,Long Rains,Fedha,OTC,Embassava,Nganya,Moneyfest,14,Diesel,M-Pesa,14,200,26.7,174.43,2800,596.13,2203.87,5/6/2024,12.8,34F
TRP003248,Morning,Dry Season,Huruma-Mathare,Muthurwa,2Nk,Standard,Standard Unit,25,Diesel,Cash,25,147,20.6,180.3,3675,460.56,3214.44,8/18/2023,12.4,28
TRP002655,Afternoon,Dry Season,Lavington-Kawangware,Kencom,Kenya Mpya,Standard,Standard Unit,25,Diesel,M-Pesa,25,150,28.3,162.98,3750,1116.18,2633.82,2/24/2024,24.2,56
TRP009520,Morning,Dry Season,Nyayo Estate-Westlands,Railways,Citi Hoppa,Electric,Basigo E-Bus,25,Electric,M-Pesa,25,51,44.9,25.88,1275,49.5,1225.5,9/25/2024,4.26,Exp1
TRP009984,Afternoon,Dry Season,Eastleigh,Odeon,City Shuttle,Standard,Standard Unit,25,Diesel,M-Pesa,25,55,26.8,160.78,1375,344.71,1030.29,6/12/2024,8,14B
TRP014415,Evening,Short Rains,Ngong Road,Railways,Oma Services,Nganya,X-Trail,25,Diesel,M-Pesa,25,200,21.78,173.5,5000,602.35,4397.65,12/30/2024,15.94,111
TRP000643,Morning,Short Rains,Kitengela,OTC,2Nk,Standard,Standard Unit,14,Diesel,Cash,14,125.04,28.2,174.5,1750.56,396.13,1354.43,10/8/2023,8.05,110
TRP004282,Afternoon,Dry Season,Nyayo Estate-Westlands,Railways,Latema,Nganya,John Wick,14,Diesel,M-Pesa,14,105.96,24.4,183.22,1483.44,442.59,1040.85,7/29/2023,9.9,Exp1
TRP015775,Morning,Dry Season,Westlands,Ambassador,Super Metro,Standard,Standard Unit,25,Diesel,M-Pesa,25,50,22,169.04,1250,169.21,1080.79,6/28/2024,4.55,23A
TRP009709,Morning,Long Rains,Kibra,Muthurwa,City Shuttle,Standard,Standard Unit,14,Petrol,Cash,14,130,21,178.94,1820,380.28,1439.72,4/4/2024,10.12,8B
TRP003947,Evening,Dry Season,Huruma-Mathare,Muthurwa,Ongata Line,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,28.1,200.3,2100,900.55,1199.45,7/27/2025,16,25
TRP009029,Evening,Dry Season,Mwiki-Upper Hill,Odeon,Nicco Movers,Nganya,Moxie,33,Petrol,M-Pesa,33,200,27.1,195.12,6600,1436.68,5163.32,1/29/2025,27.17,Mwi1
TRP002356,Evening,Dry Season,Lavington-Kawangware,Ambassador,Ongata Line,Standard,Standard Unit,25,Diesel,M-Pesa,25,80,23.8,163.04,2000,271.62,1728.38,7/15/2024,7,48A
TRP002933,Afternoon,Dry Season,Rongai,Railways,KBS,Standard,Standard Unit,25,Diesel,Cash,25,60,24.41,167.15,1500,285.61,1214.39,2/29/2024,7,125
TRP000726,Afternoon,Dry Season,Eastleigh,Odeon,Ongata Line,Standard,Standard Unit,14,Diesel,Cash,14,150,23.6,181.66,2100,975.33,1124.67,2/26/2023,22.75,14B
TRP003025,Night,Dry Season,Kibra,Railways,Latema,Standard,Standard Unit,14,Diesel,Cash,14,150,23.6,162.48,2100,536.83,1563.17,8/16/2024,14,8B
TRP001162,Night,Long Rains,Kikuyu,Railways,2Nk,Standard,Standard Unit,25,Diesel,M-Pesa,25,150,22.7,190.72,3750,1082.34,2667.66,4/17/2023,25,102
TRP004236,Evening,Short Rains,Ngong Road,Railways,Citi Hoppa,Standard,Standard Unit,25,Diesel,Cash,25,150,28.8,196.24,3750,999.22,2750.78,11/12/2025,17.68,111
TRP003972,Evening,Dry Season,Nyayo Estate-Westlands,Railways,Kenya Mpya,Nganya,Matrix,25,Diesel,M-Pesa,25,200,28.5,173.66,5000,989.86,4010.14,2/17/2023,20,Exp1
TRP016270,Night,Dry Season,Pipeline,OTC,Forward Travelers,Nganya,B613,25,Diesel,M-Pesa,25,52,24.3,197.83,1300,288.44,1011.56,7/1/2025,6,33
TRP001308,Morning,Short Rains,Eastleigh,Ambassador,Latema,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,22.7,183.8,2100,625.84,1474.16,11/29/2025,15,14B
TRP007051,Evening,Dry Season,Langata Road,Railways,KBS,Standard,Standard Unit,14,Diesel,Cash,14,150,29.7,189.9,2100,981.37,1118.63,6/15/2023,17.4,11A
TRP012357,Morning,Dry Season,Outering Road,OTC,Kenya Mpya,Standard,Standard Unit,14,Diesel,M-Pesa,14,51.73,20.7,176.25,724.22,186.07,538.15,6/10/2024,5.1,73
TRP002080,Evening,Short Rains,Rongai,Railways,Zuri,Standard,Standard Unit,33,Diesel,M-Pesa,33,150,22.97,179.5,4950,700.93,4249.07,10/5/2023,17,125
TRP008529,Night,Dry Season,Pipeline,OTC,Forward Travelers,Standard,Standard Unit,25,Petrol,Cash,25,150,20.3,188,3750,563.3,3186.7,1/18/2024,14.76,33
TRP010372,Afternoon,Dry Season,Jogoo Road,Muthurwa,Forward Travelers,Nganya,Scorpion,25,Diesel,Cash,25,200,18.5,157.73,5000,653.63,4346.37,2/27/2024,22.4,33J
TRP010303,Evening,Dry Season,Langata Road,Railways,Manchester,Standard,Standard Unit,25,Diesel,M-Pesa,25,150,24.8,192.4,3750,1288.31,2461.69,9/28/2023,27,11A
TRP010507,Afternoon,Long Rains,Kikuyu,Railways,City Shuttle,Nganya,Money Hest,14,Diesel,M-Pesa,14,136,30.6,176.25,1904,641.8,1262.2,5/29/2023,11.9,102
TRP003253,Night,Long Rains,Rongai,Railways,Nicco Movers,Standard,Standard Unit,25,Diesel,Cash,25,150,25,202.89,3750,781.13,2968.87,3/17/2025,15.4,125
TRP015664,Afternoon,Dry Season,Pipeline,OTC,Forward Travelers,Standard,Standard Unit,25,Diesel,M-Pesa,25,122.61,30.3,182.53,3065.25,1093.96,1971.29,9/26/2023,19.78,33
TRP009201,Afternoon,Dry Season,Eastleigh,Odeon,Ongata Line,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,23.7,178.81,2100,1059.45,1040.55,7/25/2023,25,14A
TRP011223,Afternoon,Short Rains,Kenyatta University,Odeon,Kenya Mpya,Standard,Standard Unit,25,Petrol,Cash,25,150,28.3,212.3,3750,1550.09,2199.91,11/16/2025,25.8,Ku1
TRP014412,Evening,Dry Season,Kawangware,Kencom,Kenya Mpya,Standard,Standard Unit,14,Diesel,M-Pesa,14,58,24.79,174,812,208.34,603.66,6/4/2023,4.83,46
TRP000334,Morning,Dry Season,Jogoo Road,Muthurwa,Embassava,Standard,Standard Unit,25,Diesel,M-Pesa,25,150,29.5,180.69,3750,1332.59,2417.41,2/19/2025,25,33J
TRP013813,Afternoon,Long Rains,Rongai,Railways,KBS,Nganya,Moxie,25,Diesel,Cash,25,79,31.2,187.45,1975,409.39,1565.61,3/28/2025,7,125
TRP009173,Afternoon,Dry Season,Rongai,Railways,Super Metro,Standard,Standard Unit,33,Diesel,M-Pesa,33,150,30.8,183.26,4950,1072.44,3877.56,9/27/2025,19,125
TRP010881,Morning,Dry Season,Kibra,Railways,Oma Services,Nganya,Kanambo,14,Diesel,Cash,14,200,30,203.52,2800,1550.82,1249.18,7/2/2025,25.4,8B
TRP004849,Morning,Dry Season,Kiambu,Odeon,Nicco Movers,Nganya,Baba Yaga,33,Diesel,M-Pesa,33,200,30.4,189.58,6600,1383.18,5216.82,6/26/2023,24,100
TRP011805,Afternoon,Dry Season,Lavington-Kawangware,Kencom,KBS,Standard,Standard Unit,25,Diesel,M-Pesa,25,75,20.6,186.8,1875,423.29,1451.71,6/2/2025,11,56
TRP007848,Afternoon,Dry Season,Kawangware,Kencom,Citi Hoppa,Standard,Standard Unit,33,Diesel,Cash,33,96.43,22.2,163.52,3182.19,464.66,2717.53,8/17/2024,12.8,46
TRP016539,Night,Dry Season,Kikuyu,Railways,KBS,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,27.8,168.9,2100,1168.69,931.31,1/2/2024,24.89,105
TRP016506,Evening,Dry Season,Kibra,Railways,Latema,Standard,Standard Unit,14,Petrol,Cash,14,150,25.8,209.02,2100,1326.61,773.39,7/20/2023,24.6,8B
TRP009530,Morning,Dry Season,Ngong Road,Railways,Oma Services,Nganya,Rongai King,33,Diesel,M-Pesa,33,89,24.3,165.7,2937,308.43,2628.57,1/22/2024,7.66,111
TRP005848,Evening,Long Rains,Nyayo Estate-Westlands,Railways,Latema,Standard,Standard Unit,25,Diesel,M-Pesa,25,104,20.91,164.3,2600,395.08,2204.92,4/24/2024,11.5,Exp1
TRP016034,Evening,Short Rains,Outering Road,OTC,Oma Services,Nganya,Godfather,25,Diesel,M-Pesa,25,160.58,20.7,161.62,4014.5,381.39,3633.11,10/21/2024,11.4,69
TRP007480,Night,Short Rains,Huruma-Mathare,Muthurwa,Kenya Mpya,Nganya,Catalyst,14,Diesel,Cash,14,63,19.3,160.99,882,201.96,680.04,11/27/2024,6.5,25
TRP006704,Afternoon,Dry Season,Nyayo Estate-Westlands,Railways,KBS,Standard,Standard Unit,14,Diesel,M-Pesa,14,129,20.4,197.5,1806,684.93,1121.07,1/30/2025,17,Exp1
TRP008969,Night,Long Rains,Kiambu,Odeon,Forward Travelers,Nganya,Manchesa,14,Diesel,Cash,14,200,20.83,167.73,2800,663.83,2136.17,3/8/2024,19,100
TRP011238,Night,Long Rains,Jogoo Road,Muthurwa,Embassava,Standard,Standard Unit,25,Diesel,Cash,25,150,30.72,171.95,3750,587.39,3162.61,3/27/2024,11.12,33J
TRP013056,Night,Dry Season,Eastleigh,Odeon,East Shuttle,Standard,Standard Unit,14,Diesel,M-Pesa,14,84,30.9,199.3,1176,605.98,570.02,8/19/2025,9.84,14A
TRP010343,Evening,Long Rains,Langata Road,Railways,Ongata Line,Standard,Standard Unit,33,Diesel,M-Pesa,33,142,20.08,159.11,4686,255.59,4430.41,5/19/2024,8,11A
TRP009320,Morning,Dry Season,Jogoo Road,Muthurwa,Forward Travelers,Nganya,Kixx,33,Diesel,M-Pesa,33,200,22.5,188.12,6600,1157.22,5442.78,1/28/2023,27.34,33J
TRP001370,Morning,Long Rains,Huruma-Mathare,Muthurwa,Citi Hoppa,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,19.4,165.63,2100,671.56,1428.44,5/6/2024,20.9,28
TRP000859,Morning,Long Rains,Kiambu,Odeon,Citi Hoppa,Standard,Standard Unit,33,Diesel,M-Pesa,33,150,23.7,159.89,4950,947.35,4002.65,5/6/2024,25,100
TRP008874,Evening,Short Rains,Kibra,Ambassador,Oma Services,Standard,Standard Unit,14,Petrol,M-Pesa,14,150,31.5,176.8,2100,779.69,1320.31,10/20/2024,14,8B
TRP000719,Morning,Short Rains,Huruma-Mathare,Muthurwa,Nicco Movers,Standard,Standard Unit,25,Diesel,Cash,25,53,18.06,176.09,1325,169.19,1155.81,10/18/2023,5.32,28
TRP004017,Night,Short Rains,Dandora,OTC,Forward Travelers,Standard,Standard Unit,14,Diesel,Cash,14,150,21.6,192.32,2100,706.2,1393.8,12/7/2025,17,36
TRP001854,Afternoon,Dry Season,Nyayo Estate-Westlands,Railways,Ongata Line,Standard,Standard Unit,25,Petrol,M-Pesa,25,54,31.1,204.46,1350,387.88,962.12,1/15/2025,6.1,Exp1
TRP011510,Evening,Short Rains,Outering Road,Odeon,City Shuttle,Standard,Standard Unit,14,Diesel,Cash,14,105,25.5,180.84,1470,276.69,1193.31,12/7/2025,6,69
TRP000942,Afternoon,Short Rains,Lavington-Kawangware,Ambassador,East Shuttle,Standard,Standard Unit,14,Diesel,M-Pesa,14,143,29.3,165.21,2002,634.13,1367.87,10/22/2024,13.1,48A
TRP008929,Night,Short Rains,Langata Road,Kencom,Embassava,Standard,Standard Unit,14,Diesel,Cash,14,150,18.14,188.95,2100,468.89,1631.11,11/30/2023,13.68,34
TRP002527,Night,Short Rains,Dandora,OTC,City Shuttle,Standard,Standard Unit,25,Diesel,Cash,25,61.75,19.2,168.5,1543.75,197.35,1346.4,11/28/2024,6.1,36
TRP012301,Morning,Short Rains,Outering Road,OTC,City Shuttle,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,22.3,182.9,2100,833.27,1266.73,10/20/2023,20.43,73
TRP007910,Afternoon,Dry Season,Kenyatta University,Odeon,Kenya Mpya,Standard,Standard Unit,14,Petrol,M-Pesa,14,136,20.25,190.8,1904,627.08,1276.92,9/25/2023,16.23,Ku1
TRP005024,Afternoon,Long Rains,Kenyatta University,Odeon,Kenya Mpya,Nganya,Nyoka,33,Diesel,M-Pesa,33,116.68,23.3,182.99,3850.44,524.43,3326.01,5/11/2025,12.3,Ku1
TRP004091,Evening,Short Rains,Pipeline,OTC,Forward Travelers,Nganya,Scorpion,25,Diesel,M-Pesa,25,141,23.1,176.6,3525,452.41,3072.59,10/22/2024,11.09,33
TRP013980,Afternoon,Long Rains,Lavington-Kawangware,Kencom,Oma Services,Electric,Basigo E-Bus,25,Electric,M-Pesa,25,78,42,24.29,1950,91.82,1858.18,3/22/2024,9,56
TRP006160,Afternoon,Short Rains,Kitengela,OTC,Oma Services,Standard,Standard Unit,14,Diesel,M-Pesa,14,92,18.1,177,1288,288.33,999.67,12/31/2024,9,110
TRP009561,Afternoon,Dry Season,Pipeline,OTC,Kenya Mpya,Standard,Standard Unit,33,Diesel,Cash,33,98,24.1,175.28,3234,473.12,2760.88,6/20/2024,11.2,33A
TRP011022,Morning,Short Rains,Kikuyu,Railways,City Shuttle,Standard,Standard Unit,14,Diesel,Cash,14,104,29.65,176.02,1456,506.24,949.76,11/18/2023,9.7,102
TRP001377,Afternoon,Dry Season,Westlands,Kencom,Oma Services,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,24.8,176.63,2100,906.31,1193.69,1/29/2023,20.69,30
TRP000506,Afternoon,Dry Season,Fedha,OTC,Embassava,Nganya,Kanambo,33,Diesel,Cash,33,193,29.9,171.7,6369,1180.78,5188.22,6/16/2024,23,34F
TRP011492,Afternoon,Dry Season,Kiambu,Odeon,Nicco Movers,Standard,Standard Unit,14,Petrol,M-Pesa,14,138,25.1,212.82,1932,1014.94,917.06,9/3/2025,19,100
TRP013592,Evening,Dry Season,Lavington-Kawangware,Kencom,Citi Hoppa,Nganya,Prestige,14,Diesel,M-Pesa,14,200,24.4,160.02,2800,1015.17,1784.83,1/17/2024,26,56
TRP016843,Night,Dry Season,Pipeline,OTC,Forward Travelers,Standard,Standard Unit,25,Diesel,M-Pesa,25,76.84,29.11,191.85,1921,424.44,1496.56,9/28/2023,7.6,33
TRP004499,Evening,Dry Season,Huruma-Mathare,Muthurwa,Manchester,Nganya,Night Nurse,33,Diesel,M-Pesa,33,142,18.43,164.72,4686,323.01,4362.99,9/3/2024,10.64,28
TRP013038,Morning,Dry Season,Outering Road,OTC,KBS,Nganya,John Wick,33,Diesel,Cash,33,175,23.06,192.24,5775,718.15,5056.85,6/24/2023,16.2,73
TRP009140,Night,Long Rains,Lavington-Kawangware,Kencom,Zuri,Standard,Standard Unit,14,Diesel,M-Pesa,14,102,30.2,183.95,1428,444.42,983.58,4/28/2023,8,56
TRP010500,Morning,Dry Season,Westlands,Railways,Citi Hoppa,Nganya,X-Trail,25,Petrol,M-Pesa,25,187.2,21.33,177.67,4680,485.08,4194.92,9/20/2024,12.8,23A
TRP000247,Evening,Short Rains,Dandora,OTC,Latema,Nganya,Godfather,33,Diesel,M-Pesa,33,197,27.6,159.56,6501,616.54,5884.46,11/12/2024,14,36
TRP015710,Evening,Dry Season,Dandora,OTC,City Shuttle,Standard,Standard Unit,14,Petrol,M-Pesa,14,150,23.1,189.91,2100,654.97,1445.03,7/29/2023,14.93,36
TRP002428,Afternoon,Dry Season,Ngong Road,Railways,Oma Services,Standard,Standard Unit,14,Diesel,M-Pesa,14,50,26.75,200.9,700,214.96,485.04,6/25/2025,4,111
TRP004549,Evening,Dry Season,Ngong Road,Railways,Kenya Mpya,Nganya,Night Nurse,25,Diesel,Cash,25,200,21,171.26,5000,905.59,4094.41,8/26/2023,25.18,111
TRP012403,Morning,Dry Season,Lavington-Kawangware,Kencom,Latema,Nganya,Moneyfest,25,Diesel,Cash,25,200,18.06,177.76,5000,866.79,4133.21,7/17/2024,27,56
TRP005314,Morning,Dry Season,Kikuyu,Railways,Embassava,Nganya,Opposite,25,Petrol,Cash,25,200,22,205.58,5000,949.78,4050.22,2/16/2023,21,105
TRP001208,Evening,Dry Season,Kiambu,Odeon,Manchester,Standard,Standard Unit,14,Diesel,Cash,14,150,23.1,167.16,2100,973.07,1126.93,2/6/2024,25.2,100
TRP004049,Afternoon,Long Rains,Rongai,Railways,Zuri,Standard,Standard Unit,14,Diesel,M-Pesa,14,150,27,176.34,2100,1190.3,909.7,9/5/2023,25,125
TRP014102,Night,Dry Season,Outering Road,OTC,KBS,Electric,Basigo E-Bus,49,Electric,Cash,49,50,35.16,26.73,2450,46.99,2403.01,8/18/2024,5,73
