trip_id,date_raw,time_of_day,season,route_number,corridor,cbd_stage,sacco,vehicle_type,vehicle_name,capacity,passenger_count,fare_kes,distance_km,fuel_type,fuel_consumption,payment_method,revenue_kes,fuel_price_per_unit
TRP003931,44967,Nyt,dry season,MWI1,Mwiki-Upper Hill,Odeon,OMA Services,electric,BasiGo E-Bus,25,25,78.29,9.32 km,electric,54.0kwh,cash,KES1957,25.78
TRP010292,45442,evening,Long Rains,EXP1,Nyayo Estate-Westlands,Railways,manchester,Standard,Standard Unit,33 pax,33,150,-4.15 km,Diesel,21.7 litres/100km,M-Pesa,4950,175.24
TRP006082,45474,evening,dry season,73,Outering Road,OTC,MANCHESTER,Nganya,Scorpion,25 seater,25,87,7.7,petrol,30.8l/100km,CASH,Ksh 2168,176.5
TRP008362,45978,AFTERNOON,Short Rains,48A,Lavington-Kawangware,Ambassador,EAST SHUTTLE,Standard,Standard Unit,25,25,150,18.18 km,Petrol,24.0 L/100km,mpesa,3750,KES209.40
TRP005142,45564,Afternoon,Dry Season,48A,Lavington-Kawangware,Ambassador,manchester,Nganya,Opposite,25,25,131,13.68 km,diesel,25.97,CASH,3275,Ksh 160.76
TRP008991,45591,EVENING,Short Rains,33,Pipeline,OTC,FORWARD TRAVELERS,NGANYA,Opposite,25,25,200,22,petrol,25.3 L/100km,Cash,5000,KES181.83
TRP014253,28/07/2024,evening,dry season,14A,Eastleigh,Odeon,super metro,standard,Standard Unit,25,25,150,22,Diesel,30.11,cash,3750,174.7/=
TRP003327,45250,Aftenoon,SHORT RAINS,56,Lavington-Kawangware,Kencom,Manchester,Standard,Standard Unit,33,33,94.29,10.48 km,Diesel,26.32,mpesa,3112,KES186.77
TRP014208,45147,EVENING,Dry Season,30,Westlands,Kencom,Citi Hoppa,Nganya,Night Nurse,14 seater,14,200,26,DIESEL,20.2l/100km,Cash,2800,181.6/=
TRP005945,45177,EVENING,Dry Season,105,Kikuyu,Railways,Manchester,nganya,Sabaki,25,25,200,22km,Diesel,26.9 L/100km,CASH,5000,179.85
TRP003537,45816,Eve,Dry Season,8B,Kibra,Railways,EAST SHUTTLE,STANDARD,Standard Unit,33,33,99,10km,DIESEL,21.4l/100km,CASH,3255,199.6
TRP016124,45872,Evning,Dry Season,KU1,Kenyatta University,Odeon,KENYA MPYA,Standard,Standard Unit,33,33,91,12.04 km,Petrol,30.9 L/100km,M-Pesa,Ksh 3011,KES209.76
TRP006668,45237,Evning,Short Rains,23A,Westlands,Railways,Citi Hoppa,Nganya,Kanambo,25,25,62.26,6,Diesel,25.4 litres/100km,mpesa,1556.44,Ksh 171.25
TRP006109,45261,afternoon,short rains,KU1,Kenyatta University,Railways,Kenya Mpya,standard,Standard Unit,14 seater,14,150,-2.3,Diesel,26.1l/100km,M-Pesa,2100,KES182.64
TRP007915,45521,PM,Dry Season,110,Kitengela,OTC,Forward Travelers,STANDARD,Standard Unit,33,33,Ksh 57,9,PETROL,22.5l/100km,MPESA ,1870.84,KES179.80
TRP011657,45644,morning,SHORT RAINS,30,Westlands,Kencom,KBS,Electric,BasiGo E-Bus,49,49,150,14,Electric,38.1 kWh/100km,cash,7350,KES26.47
TRP011349,46009,PM,SHORT RAINS,11A,Langata Road,Railways,FORWARD TRAVELERS,nganya,Money Fest,14,14,200,23.80 km,Diesel,29.79,M-Pesa,Ksh 2800,KES201.86
TRP005942,12.11.2023,Mornig,Short Rains,34F,Fedha,OTC,EMBASSAVA,Nganya,Matrix Damager,25,25,200/-,21.5,Diesel,29.8l/100km,cash,5000,189.21
TRP015322,46006,Mornig,Short Rains,73,Outering Road,OTC,ONGATA LINE,Nganya,Sabaki,33 pax,33,KES76,6,Diesel,26.6l/100km,MPESA ,2499,194.59
TRP000104,45908,MORNING,DRY SEASON,100,Kiambu,Odeon,Ongata Line,STANDARD,Standard Unit,33,33,85,10.7,DIESEL,29.2 L/100km,Cash,KSH 2811/=,KES204.94
TRP006718,45759,evening,Short Rains,105,Kikuyu,Railways,Nicco Movers,nganya,B613,25,25,KES164,12.33 km,Diesel,18.9 litres/100km,Mpesa,4107/-,195.98
TRP005143,45519,evening,Dry Season,34E,Embakasi,OTC,Embassava,STANDARD,Standard Unit,14-seater,14,150,21km,Diesel,18.0 litres/100km,MPESA ,2100/-,Ksh 160.38
TRP005828,45031,afternoon,long rains,112,Kikuyu,Railways,Embassava,Standard,Standard Unit,14,14,KSH 150/=,27.4,diesel,27.6,cash,Ksh 2100,175.05
TRP015763,44980,morning,Dry Season,69,Outering Road,OTC,east shuttle,Electric,BasiGo E-Bus,49,49,150,27.75 km,Electric,47.59,Mpesa,Ksh 7350,Ksh 24.56
TRP014029,45128,Evning,Dry Season,25,Huruma-Mathare,Muthurwa,Ongata Line,Standard,Standard Unit,14 pax,14,150/-,23.95 km,DIESEL,20.3l/100km,CASH,Ksh 2100,180.7/=
TRP012091,45515,Eve,DRY SEASON,14B,Eastleigh,Odeon,Latema,Standard,Standard Unit,25,25,150,20km,Diesel,20.15,Mpesa,3750/-,Ksh 163.96
TRP008375,45178,Evning,Dry Season,25,Huruma-Mathare,Muthurwa,citi hoppa,standard,Standard Unit,33,33,Ksh 59,6km,Diesel,28.5 litres/100km,MPESA ,1962.57,KES177.48
TRP004440,45165,PM,Dry Season,110,Kitengela,OTC,ONGATA LINE,Nganya,Scorpion,33-seater,33,KSH 190/=,24.38 km,Petrol,19.06,Mpesa,Ksh 6275,199.91
TRP014141,27.09.2025,Morning,Dry Season,111,Ngong Road,Railways,CITY SHUTTLE,STANDARD,Standard Unit,25,25,Ksh 150,25.4,Petrol,24.5l/100km,Cash,3750,217.9/=
TRP005631,45224,AM,Short Rains,34,Langata Road,Kencom,Embassava,standard,Standard Unit,25 seater,25,130,11km,diesel,25.5l/100km,M-PESA,KES3255,Ksh 180.98
TRP004460,45273,Evning,SHORT RAINS,33J,Jogoo Road,Muthurwa,LATEMA,Standard,Standard Unit,14-seater,14,Ksh 150,27.3,Diesel,31.6l/100km,cash,2100,KES182.48
TRP006759,45594,afternoon,Short Rains,36,Dandora,OTC,KBS,Electric,BasiGo E-Bus,25 seater,25,KES150,26.2,electric,38.1 kWh/100km,M-PESA,3750,25.9/=
TRP005060,45332,Eve,DRY SEASON,100,Kiambu,Odeon,Zuri,Nganya,Overload,14,14,KES51,6.29 km,Diesel,31.9 litres/100km,MPESA ,KES714,166.7
TRP012694,45865,Evening,DRY SEASON,KU1,Kenyatta University,Odeon,nicco movers,Nganya,Godfather,33 seater,33,200,26.3,Petrol,22.0l/100km,Mpesa,KSH 6600/=,214.0/=
TRP010796,45737,Morning,long rains,25,Huruma-Mathare,Muthurwa,Citi Hoppa,STANDARD,Standard Unit,14,14,94.32,9.17 km,DIESEL,30.7 L/100km,MPESA ,1320.48,Ksh 202.47
TRP003361,08.01.2023,Nyt,Dry Season,14A,Eastleigh,Odeon,city shuttle,Standard,Standard Unit,14,14,50,6,DIESEL,18.5l/100km,Cash,Ksh 700,KES174.52
TRP006115,14/02/2023,night,dry season,33A,Pipeline,OTC,Embassava,Nganya,Opposite,33 pax,33,Ksh 200,25.87 km,diesel,19.4l/100km,mpesa,6600,KES192.33
TRP010184,1741370160,EVENING,Long Rains,33A,Pipeline,OTC,2NK,Standard,Standard Unit,25,25,Ksh 130,7.72 km,diesel,19.2l/100km,mpesa,3260,194.15
TRP016611,45231,Afternoon,Short Rains,100,Kiambu,Odeon,MANCHESTER,nganya,Scorpion,14,14,50,5km,DIESEL,18.2l/100km,cash,700,188.87
TRP002476,45876,morning,Dry Season,46,Kawangware,Kencom,kbs,electric,BasiGo E-Bus,49,49,116,14.4,Electric,36.4 kWh/100km,M-PESA,5688/-,24.0/=
TRP011425,1708857780,Aftenoon,Dry Season,111,Ngong Road,Railways,2NK,Standard,Standard Unit,14,14,KES150,23km,Diesel,25.2 litres/100km,M-PESA,KES2100,160.6/=
TRP000169,45041,Afternoon,Long Rains,30,Westlands,Muthurwa,CITI HOPPA,Electric,BasiGo E-Bus,25 seater,25,150,-5,Electric,49.95,Cash,KES3750,25.81
TRP003418,27/01/2025,Afternoon,dry season,KU1,Kenyatta University,Odeon,Latema,Nganya,Opposite,25,25,69,6.8,Diesel,21.01,Mpesa,1731/-,Ksh 182.59
TRP013757,45418,Eve,Long Rains,34F,Fedha,OTC,Embassava,Nganya,Moneyfest,14 seater,14,200,12.8,Diesel,26.7l/100km,M-PESA,2800,KES174.43
TRP003248,18/08/2023,MORNING,Dry Season,28,Huruma-Mathare,Muthurwa,2nk,Standard,Standard Unit,25,25,147/-,12.4,DIESEL,20.6 litres/100km,cash,3678.76,KES180.30
TRP002655,45346,Afternoon,DRY SEASON,56,Lavington-Kawangware,Kencom,Kenya Mpya,standard,Standard Unit,25,25,150,24.2,diesel,28.3 litres/100km,mpesa,3750/-,162.98
TRP009520,45560,morning,Dry Season,EXP1,Nyayo Estate-Westlands,Railways,Citi Hoppa,Electric,BasiGo E-Bus,25,25,51,4.26 km,Electric,44.9 kWh/100km,mpesa,1268.89,Ksh 25.88
TRP009984,45455,Afternoon,Dry Season,14B,Eastleigh,Odeon,City Shuttle,Standard,Standard Unit,25,25,Ksh 55,8,diesel,26.8 L/100km,mpesa,KES1365,KES160.78
TRP014415,45656,evening,short rains,111,Ngong Road,Railways,OMA SERVICES,NGANYA,X-Trail,25,25,200,15.94 km,Diesel,21.78,MPESA ,5000,173.5/=
TRP000643,45207,morning,SHORT RAINS,110,Kitengela,OTC,2NK,Standard,Standard Unit,14,14,125.04,8.05 km,DIESEL,28.2 litres/100km,cash,1751,Ksh 174.50
TRP004282,45136,PM,Dry Season,EXP1,Nyayo Estate-Westlands,Railways,Latema,nganya,John Wick,14,14,105.96,9.9,DIESEL,24.4 litres/100km,Mpesa,1483,Ksh 183.22
TRP015775,28.06.2024,Mornig,DRY SEASON,23A,Westlands,Ambassador,Super Metro,STANDARD,Standard Unit,25-seater,25,KSH 50/=,4.55 km,Diesel,22.0 L/100km,mpesa,1250,169.04
TRP009709,1712209860,morning,LONG RAINS,8B,Kibra,Muthurwa,City Shuttle,Standard,Standard Unit,14,14,Ksh 130,10.12 km,Petrol,21.0 litres/100km,cash,1817.46,178.94
TRP003947,45865,Evening,DRY SEASON,25,Huruma-Mathare,Muthurwa,ongata line,STANDARD,Standard Unit,14,14,KSH 150/=,16km,Diesel,28.1 litres/100km,MPESA ,KSH 2100/=,200.3/=
TRP009029,45686,Evening,dry season,MWI1,Mwiki-Upper Hill,Odeon,Nicco Movers,nganya,Moxie,33-seater,33,KES200,27.17 km,PETROL,27.1 litres/100km,M-Pesa,6600,KES195.12
TRP002356,45488,Eve,DRY SEASON,48A,Lavington-Kawangware,Ambassador,Ongata Line,Standard,Standard Unit,25,25,80,7km,Diesel,23.8 L/100km,M-PESA,Ksh 1992,KES163.04
TRP002933,29/02/2024,Afternoon,Dry Season,125,Rongai,Railways,KBS,STANDARD,Standard Unit,25,25,60,7km,diesel,24.41,Cash,Ksh 1488,KES167.15
TRP000726,44983,Afternoon,dry season,14B,Eastleigh,Odeon,ongata line,STANDARD,Standard Unit,14,14,150,22.75 km,Diesel,23.6 litres/100km,CASH,2100,181.66
TRP003025,16/08/2024,Night,dry season,8B,Kibra,Railways,LATEMA,STANDARD,Standard Unit,14 seater,14,KES150,14km,DIESEL,23.6l/100km,cash,2100,Ksh 162.48
TRP001162,45033,night,Long Rains,102,Kikuyu,Railways,2Nk,Standard,Standard Unit,25,25,Ksh 150,25km,diesel,22.7 litres/100km,Mpesa,3750/-,Ksh 190.72
TRP004236,45973,Evning,Short Rains,111,Ngong Road,Railways,CITI HOPPA,STANDARD,Standard Unit,25-seater,25,150,17.68 km,DIESEL,28.8 litres/100km,Cash,Ksh 3750,Ksh 196.24
TRP003972,17/02/2023,Evning,DRY SEASON,EXP1,Nyayo Estate-Westlands,Railways,KENYA MPYA,Nganya,Matrix,25 seater,25,200,20,Diesel,28.5 L/100km,MPESA ,5000,173.66
TRP016270,45839,Nyt,Dry Season,33,Pipeline,OTC,Forward Travelers,NGANYA,B613,25-seater,25,52,6,Diesel,24.3 L/100km,Mpesa,Ksh 1304,Ksh 197.83
TRP001308,45990,Morning,Short Rains,14B,Eastleigh,Ambassador,Latema,Standard,Standard Unit,14,14,150,15,diesel,22.7l/100km,mpesa,2100,183.8/=
TRP007051,15/06/2023,Evening,DRY SEASON,11A,Langata Road,Railways,KBS,Standard,Standard Unit,14-seater,14,150,17.4,diesel,29.7l/100km,CASH,2100,189.9
TRP012357,45453,AM,DRY SEASON,73,Outering Road,OTC,Kenya Mpya,Standard,Standard Unit,14,14,51.73,5.1,Diesel,20.7 L/100km,MPESA ,Ksh 724,176.25
TRP002080,45204,Evening,short rains,125,Rongai,Railways,zuri,Standard,Standard Unit,33-seater,33,150/-,17,Diesel,22.97,mpesa,4950,179.5/=
TRP008529,45309,NIGHT,dry season,33,Pipeline,OTC,Forward Travelers,STANDARD,Standard Unit,25,25,150/-,14.76 km,Petrol,20.3l/100km,Cash,3750,188.0/=
TRP010372,27/02/2024,Afternoon,Dry Season,33J,Jogoo Road,Muthurwa,Forward Travelers,Nganya,Scorpion,25,25,200,22.4,Diesel,18.5 litres/100km,Cash,5000,Ksh 157.73
TRP010303,45197,EVENING,DRY SEASON,11A,Langata Road,Railways,manchester,standard,Standard Unit,25,25,150,27,diesel,24.8 litres/100km,mpesa,3750/-,192.4
TRP010507,29.05.2023,PM,Long Rains,102,Kikuyu,Railways,City Shuttle,Nganya,Money Fest,14,14,KES136,11.9,Diesel,30.6l/100km,Mpesa,Ksh 1898,Ksh 176.25
TRP003253,45733,Night,Long Rains,125,Rongai,Railways,NICCO MOVERS,Standard,Standard Unit,25,25,150,15.4,DIESEL,25.0l/100km,CASH,3750,202.89
TRP015664,45195,Aftenoon,dry season,33,Pipeline,OTC,Forward Travelers,Standard,Standard Unit,25 seater,25,122.61,19.78 km,diesel,30.3 L/100km,mpesa,3065,182.53
TRP009201,25/07/2023,Aftenoon,dry season,14A,Eastleigh,Odeon,Ongata Line,standard,Standard Unit,14,14,Ksh 150,25km,DIESEL,23.7 L/100km,M-Pesa,2100,Ksh 178.81
TRP011223,45977,afternoon,short rains,KU1,Kenyatta University,Odeon,Kenya Mpya,Standard,Standard Unit,25 pax,25,150,25.8,PETROL,28.3l/100km,CASH,KES3750,212.3/=
TRP014412,45081,Evening,Dry Season,46,Kawangware,Kencom,kenya mpya,STANDARD,Standard Unit,14 pax,14,KSH 58/=,4.83 km,DIESEL,24.79,MPESA ,813.81,174.0/=
TRP000334,19/02/2025,morning,DRY SEASON,33J,Jogoo Road,Muthurwa,embassava,Standard,Standard Unit,25 pax,25,150/-,25km,Diesel,29.5 litres/100km,M-PESA,3750,180.69
TRP013813,45744,Afternoon,LONG RAINS,125,Rongai,Railways,KBS,Nganya,Moxie,25 seater,25,KES79,7,Diesel,31.2,CASH,1975,Ksh 187.45
TRP009173,27/09/2025,AFTERNOON,Dry Season,125,Rongai,Railways,SUPER METRO,Standard,Standard Unit,33,33,KES150,19km,diesel,30.8 L/100km,M-PESA,4950,Ksh 183.26
TRP010881,45840,Morning,Dry Season,8B,Kibra,Railways,OMA Services,Nganya,Kanambo,14-seater,14,200/-,25.4,Diesel,30.0l/100km,cash,2800,203.52
TRP004849,45103,MORNING,Dry Season,100,Kiambu,Odeon,nicco movers,Nganya,Baba Yaga,33 seater,33,200,24,Diesel,30.4 litres/100km,mpesa,KSH 6600/=,Ksh 189.58
TRP011805,45810,AFTERNOON,Dry Season,56,Lavington-Kawangware,Kencom,KBS,standard,Standard Unit,25-seater,25,75,11km,Diesel,20.6 L/100km,M-PESA,KES1866,186.8/=
TRP007848,17/08/2024,Aftenoon,Dry Season,46,Kawangware,Kencom,Citi Hoppa,Standard,Standard Unit,33,33,96.43,12.8,Diesel,22.2,CASH,3182/-,KES163.52
TRP016539,45293,Night,Dry Season,105,Kikuyu,Railways,kbs,STANDARD,Standard Unit,14 seater,14,KSH 150/=,24.89 km,Diesel,27.8l/100km,M-PESA,2100,168.9/=
TRP016506,45127,EVENING,dry season,8B,Kibra,Railways,LATEMA,STANDARD,Standard Unit,14,14,150,24.6,Petrol,25.8 litres/100km,Cash,2100,209.02
TRP009530,45313,morning,Dry Season,111,Ngong Road,Railways,Oma Services,nganya,Rongai King,33,33,Ksh 89,7.66 km,Diesel,24.3 L/100km,MPESA ,2936/-,Ksh 165.70
TRP005848,45406,EVENING,long rains,EXP1,Nyayo Estate-Westlands,Railways,latema,STANDARD,Standard Unit,25 seater,25,104/-,11.5,Diesel,20.91,M-PESA,2595.72,164.3/=
TRP016034,45586,Evning,Short Rains,69,Outering Road,OTC,oma services,NGANYA,Godfather,25 seater,25,160.58,11.4,diesel,20.7l/100km,M-PESA,4015,161.62
TRP007480,45623,NIGHT,SHORT RAINS,25,Huruma-Mathare,Muthurwa,Kenya Mpya,Nganya,Catalyst,14 seater,14,KES63,6.5,DIESEL,19.3l/100km,Cash,Ksh 889,160.99
TRP006704,45687,PM,Dry Season,EXP1,Nyayo Estate-Westlands,Railways,KBS,standard,Standard Unit,14,14,129/-,17,Diesel,20.4 L/100km,MPESA ,KES1808,197.5/=
TRP008969,45359,NIGHT,Long Rains,100,Kiambu,Odeon,Forward Travelers,Nganya,Manchesa,14 seater,14,200,19,Diesel,20.83,cash,2800,Ksh 167.73
TRP011238,27/03/2024,Nyt,LONG RAINS,33J,Jogoo Road,Muthurwa,embassava,Standard,Standard Unit,25 pax,25,150,11.12 km,DIESEL,30.72,cash,KSH 3750/=,171.95
TRP013056,45888,night,Dry Season,14A,Eastleigh,Odeon,east shuttle,Standard,Standard Unit,14,14,KSH 84/=,9.84 km,Diesel,30.9 L/100km,Mpesa,1182.2,199.3/=
TRP010343,45431,evening,Long Rains,11A,Langata Road,Railways,Ongata Line,STANDARD,Standard Unit,33 seater,33,Ksh 142,8,DIESEL,20.08,M-PESA,4702,Ksh 159.11
TRP009320,28/01/2023,Mornig,Dry Season,33J,Jogoo Road,Muthurwa,Forward Travelers,NGANYA,Kixx,33,33,200,27.34 km,diesel,22.5 L/100km,mpesa,6600,188.12
TRP001370,45418,Morning,Long Rains,28,Huruma-Mathare,Muthurwa,Citi Hoppa,Standard,Standard Unit,14,14,150,20.9,Diesel,19.4 L/100km,M-PESA,2100,165.63
TRP000859,45418,MORNING,Long Rains,100,Kiambu,Odeon,Citi Hoppa,STANDARD,Standard Unit,33,33,KES150,25km,Diesel,23.7 L/100km,mpesa,KSH 4950/=,Ksh 159.89
TRP008874,20.10.2024,evening,Short Rains,8B,Kibra,Ambassador,oma services,Standard,Standard Unit,14,14,KSH 150/=,14,Petrol,31.5 L/100km,Mpesa,KES2100,176.8
TRP000719,18/10/2023,AM,short rains,28,Huruma-Mathare,Muthurwa,Nicco Movers,Standard,Standard Unit,25 seater,25,Ksh 53,5.32 km,Diesel,18.06,Cash,1321,KES176.09
TRP004017,45998,Nyt,Short Rains,36,Dandora,OTC,Forward Travelers,STANDARD,Standard Unit,14,14,150/-,17km,diesel,21.6 litres/100km,Cash,Ksh 2100,Ksh 192.32
TRP001854,45672,AFTERNOON,dry season,EXP1,Nyayo Estate-Westlands,Railways,ongata line,STANDARD,Standard Unit,25,25,54,6.1,PETROL,31.1l/100km,mpesa,1357.48,KES204.46
TRP011510,45998,evening,SHORT RAINS,69,Outering Road,Odeon,City Shuttle,standard,Standard Unit,14-seater,14,KES105,6km,Diesel,25.5 L/100km,Cash,1472,KES180.84
TRP000942,45587,AFTERNOON,SHORT RAINS,48A,Lavington-Kawangware,Ambassador,east shuttle,Standard,Standard Unit,14,14,143,13.1,Diesel,29.3l/100km,Mpesa,1999,165.21
TRP008929,45260,NIGHT,short rains,34,Langata Road,Kencom,embassava,Standard,Standard Unit,14,14,150,13.68 km,DIESEL,18.14,Cash,2100,188.95
TRP002527,28/11/2024,Night,short rains,36,Dandora,OTC,City Shuttle,Standard,Standard Unit,25,25,61.75,6.1,diesel,19.2l/100km,Cash,1544,168.5/=
TRP012301,20/10/2023,AM,SHORT RAINS,73,Outering Road,OTC,City Shuttle,Standard,Standard Unit,14-seater,14,KSH 150/=,20.43 km,Diesel,22.3l/100km,MPESA ,KES2100,182.9
TRP007910,45194,Afternoon,DRY SEASON,KU1,Kenyatta University,Odeon,KENYA MPYA,STANDARD,Standard Unit,14 seater,14,136,16.23 km,petrol,20.25,MPESA ,1900.41,190.8/=
TRP005024,45788,PM,Long Rains,KU1,Kenyatta University,Odeon,Kenya Mpya,Nganya,Nyoka,33,33,116.68,12.3,Diesel,23.3 litres/100km,mpesa,3850.55,Ksh 182.99
TRP004091,22/10/2024,Evening,Short Rains,33,Pipeline,OTC,Forward Travelers,Nganya,Scorpion,25 seater,25,141,11.09 km,DIESEL,23.1 litres/100km,MPESA ,3533.6,176.6/=
TRP013980,22.03.2024,Aftenoon,long rains,56,Lavington-Kawangware,Kencom,OMA Services,electric,BasiGo E-Bus,25,25,78/-,9,Electric,42.0kwh,M-PESA,1949.04,KES24.29
TRP006160,45657,AFTERNOON,SHORT RAINS,110,Kitengela,OTC,oma services,standard,Standard Unit,14,14,Ksh 92,9,diesel,18.1l/100km,MPESA ,Ksh 1292,177.0/=
TRP009561,20/06/2024,afternoon,Dry Season,33A,Pipeline,OTC,KENYA MPYA,STANDARD,Standard Unit,33,33,98,11.2,Diesel,24.1 L/100km,CASH,3223,Ksh 175.28
TRP011022,18/11/2023,MORNING,Short Rains,102,Kikuyu,Railways,CITY SHUTTLE,Standard,Standard Unit,14,14,Ksh 104,9.7,Diesel,29.65,CASH,1451.02,Ksh 176.02
TRP001377,44955,afternoon,Dry Season,30,Westlands,Kencom,oma services,standard,Standard Unit,14,14,KES150,20.69 km,Diesel,24.8 litres/100km,MPESA ,2100,KES176.63
TRP000506,45459,AFTERNOON,Dry Season,34F,Fedha,OTC,embassava,Nganya,Kanambo,33,33,193/-,23km,Diesel,29.9l/100km,CASH,6381,171.7/=
TRP011492,45903,PM,dry season,100,Kiambu,Odeon,NICCO MOVERS,Standard,Standard Unit,14-seater,14,KSH 138/=,19,Petrol,25.1l/100km,Mpesa,1926.08,212.82
TRP013592,17/01/2024,EVENING,dry season,56,Lavington-Kawangware,Kencom,Citi Hoppa,nganya,Prestige,14,14,200,26,Diesel,24.4l/100km,MPESA ,2800/-,Ksh 160.02
TRP016843,28/09/2023,night,Dry Season,33,Pipeline,OTC,Forward Travelers,standard,Standard Unit,25 seater,25,76.84,7.6,Diesel,29.11,mpesa,1921/-,Ksh 191.85
TRP004499,45538,Evening,Dry Season,28,Huruma-Mathare,Muthurwa,manchester,Nganya,Night Nurse,33 pax,33,142,10.64 km,diesel,18.43,MPESA ,Ksh 4688,KES164.72
TRP013038,45101,Mornig,dry season,73,Outering Road,OTC,KBS,Nganya,John Wick,33 seater,33,Ksh 175,16.20 km,Diesel,23.06,CASH,Ksh 5787,KES192.24
TRP009140,45044,NIGHT,Long Rains,56,Lavington-Kawangware,Kencom,Zuri,Standard,Standard Unit,14-seater,14,102,8km,diesel,30.2 L/100km,M-PESA,1423/-,KES183.95
TRP010500,45555,AM,Dry Season,23A,Westlands,Railways,Citi Hoppa,Nganya,X-Trail,25,25,187.2,12.8,Petrol,21.33,M-PESA,4679.93,KES177.67
TRP000247,45608,Evning,Short Rains,36,Dandora,OTC,latema,nganya,Godfather,33-seater,33,KES197,14km,diesel,27.6l/100km,MPESA ,Ksh 6488,159.56
TRP015710,45136,evening,Dry Season,36,Dandora,OTC,City Shuttle,STANDARD,Standard Unit,14 seater,14,150/-,14.93 km,petrol,23.1l/100km,M-PESA,2100,Ksh 189.91
TRP002428,45833,Afternoon,Dry Season,111,Ngong Road,Railways,Oma Services,Standard,Standard Unit,14 pax,14,50,4,diesel,26.75,M-Pesa,KSH 700/=,200.9
TRP004549,45164,Evening,Dry Season,111,Ngong Road,Railways,kenya mpya,Nganya,Night Nurse,25 seater,25,Ksh 200,25.18 km,Diesel,21.0 L/100km,CASH,5000,171.26
TRP012403,45490,morning,Dry Season,56,Lavington-Kawangware,Kencom,LATEMA,Nganya,Moneyfest,25,25,200,27km,DIESEL,18.06,Cash,5000,177.76
TRP005314,16.02.2023,AM,Dry Season,105,Kikuyu,Railways,Embassava,Nganya,Opposite,25,25,KSH 200/=,21,PETROL,22.0l/100km,Cash,Ksh 5000,205.58
TRP001208,45328,evening,DRY SEASON,100,Kiambu,Odeon,Manchester,Standard,Standard Unit,14,14,KSH 150/=,25.2,diesel,23.1 litres/100km,cash,KSH 2100/=,167.16
TRP004049,45174,afternoon,Long Rains,125,Rongai,Railways,ZURI,Standard,Standard Unit,14-seater,14,150,25km,Diesel,27.0 L/100km,Mpesa,2100,Ksh 176.34
TRP014102,45522,NIGHT,Dry Season,73,Outering Road,OTC,kbs,Electric,BasiGo E-Bus,49,49,50,5,ELECTRIC,35.16,CASH,Ksh 2450,KES26.73
TRP001443,45505,Mornig,Dry Season,33,Pipeline,OTC,2nk,STANDARD,Standard Unit,33 seater,33,150,27.93 km,Diesel,26.9 litres/100km,M-PESA,Ksh 4950,172.18
